Model,Displ,Cyl,Trans,Drive,Fuel,Cert_Region,Stnd,Stnd_Description,Underhood_ID,Veh_Class,Air_Pollution_Score,City_MPG,Hwy_MPG,Cmb_MPG,Greenhouse_Gas_Score,SmartWay,Price_EUR
AUDI A3,2,4,Man-6,2WD,Gasoline,CA,S2,California LEV-II SULEV,AADXV0203PA,station wagon,9,21,30,24,7,yes,23000
AUDI A4,2,4,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,AADXV0203UB,small car,7,21,27,23,6,yes,18400
AUDI A5,2,4,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,AADXV0203UB,small car,7,21,27,23,6,yes,18400
AUDI A6,3,6,CVT,2WD,Gasoline,CA,U2,California LEV-II ULEV,AADXJ0323UC,midsize car,7,18,28,22,6,yes,27600
AUDI TT Coupe,2,4,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,AADXV0203UA,small car,7,21,29,24,7,yes,18400
AUDI TT Roadster,2,4,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,AADXV0203UA,small car,6,21,29,24,7,yes,18400
BMW 128Ci Convertible,3,6,Man-6,2WD,Gasoline,CA,S2,California LEV-II SULEV,ABMXV03051R,small car,9,18,28,22,6,yes,18400
BMW 128i,3,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,ABMXJ030E89,small car,7,18,28,22,6,yes,18400
BMW 328Ci,3,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,ABMXJ030E89,small car,7,18,28,22,6,yes,18400
BMW 328i,3,6,Man-6,2WD,Gasoline,CA,S2,California LEV-II SULEV,ABMXV03051R,small car,9,18,28,22,6,yes,18400
BMW 528i,3,6,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,ABMXJ030E89,midsize car,7,18,28,22,6,yes,27600
BMW Z4,3,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,ABMXJ030E89,small car,7,18,28,22,6,yes,18400
CADILLAC CTS,3,6,SemiAuto-6,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,AGMXJ030157,midsize car,7,18,27,22,6,yes,27600
CADILLAC CTS Wagon,3,6,SemiAuto-6,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,AGMXJ030157,station wagon,7,18,27,22,6,yes,23000
CHEVROLET Aveo,1,4,Auto-4,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,AGDXV016004,small car,7,25,34,28,8,yes,18400
CHEVROLET Aveo 5,1,4,Man-5,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,AGDXV016004,small car,7,27,35,30,8,yes,18400
CHEVROLET Camaro,3,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,AGMXJ036151,small car,7,18,29,22,6,yes,18400
CHEVROLET Cobalt Coupe,2,4,Auto-4,2WD,Gasoline,CA,S2,California LEV-II SULEV,AGMXV022030,small car,9,24,33,27,7,yes,18400
CHEVROLET Cobalt Sedan,2,4,Man-5,2WD,Gasoline,CA,L2,California LEV-II LEV,AGMXV024027,small car,6,25,35,29,8,yes,18400
CHEVROLET Cobalt SS Coupe,2,4,Man-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,AGMXV020021,small car,6,22,30,25,7,yes,18400
DODGE Caliber,2,4,Man-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,ACRXJ0204P0,station wagon,6,23,31,26,7,yes,23000
DODGE Caliber,2,4,Man-5,2WD,Gasoline,CA,L2,California LEV-II LEV,ACRXJ0204P0,station wagon,6,23,31,26,7,yes,23000
DODGE Caliber,2,4,Man-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,ACRXJ0243P1,station wagon,6,23,29,25,7,yes,23000
FORD Fusion,2,4,Auto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,AFMXV025VEF,midsize car,6,22,31,25,7,yes,27600
HONDA Civic,1,4,Auto-5,2WD,CNG,FA,B2,Federal Tier 2 Bin 2,AHNXV018BDT,small car,9,24,36,28,9,yes,18400
HYUNDAI Accent,1,4,Auto-4,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,AHYXV016MW5,small car,6,27,36,30,8,yes,18400
HYUNDAI Sonata,2,4,Auto-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,AHYXV024SW5,large car,6,22,32,25,7,yes,27600
JEEP Patriot,2,4,Man-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,ACRXJ0243P1,SUV,7,23,28,25,7,yes,27600
KIA Rio,1,4,Man-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,AKMXV016BW5,small car,7,28,34,31,8,yes,18400
LEXUS RX 450h,3,6,Other-1,4WD,Gasoline,CA,S2,California LEV-II SULEV,ATYXT035CC4,SUV,9,30,28,29,8,yes,27600
MAZDA 6,2,4,SemiAuto-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,ATKXV0255AA,midsize car,6,21,30,24,7,yes,27600
MAZDA CX-7,2,4,SemiAuto-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,ATKXT0255BA,SUV,7,20,28,23,6,yes,27600
MAZDA MX-5,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,ATKXV0205BA,small car,7,21,28,23,6,yes,18400
MINI Cooper,1,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,ABMXV016ULR,small car,7,25,33,28,8,yes,18400
MITSUBISHI Eclipse,2,4,SemiAuto-4,2WD,Gasoline,CA,U2,California LEV-II ULEV,ADSXV024G4H,small car,7,20,27,23,6,yes,18400
NISSAN Sentra,2,4,Man-6,2WD,Gasoline,CA,S2,California LEV-II SULEV,ANSXV02082A,midsize car,9,24,31,27,7,yes,27600
PORSCHE Cayman,2,6,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,APRXV029BMI,small car,7,19,27,22,6,yes,18400
TOYOTA Corolla,1,4,Man-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,ATYXV018BEA,small car,7,26,35,30,8,yes,18400
TOYOTA Yaris,1,4,Man-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,ATYXV015BEA,small car,7,29,36,32,9,yes,18400
VOLKSWAGEN Golf,2,4,SemiAuto-6,2WD,Diesel,FA,Mod,Modified (Mod),AVWXV020U5N,small car,9,29,37,32,Mod,yes,18400
VOLKSWAGEN GTI,2,4,Man-6,2WD,Gasoline,CA,S2,California LEV-II SULEV,AADXV0203PA,small car,9,21,31,25,7,yes,18400
VOLKSWAGEN Jetta,2,4,Man-6,2WD,Gasoline,CA,S2,California LEV-II SULEV,AADXV0203PA,small car,9,21,31,25,7,yes,18400
VOLKSWAGEN Jetta,2,4,SemiAuto-6,2WD,Diesel,FA,Mod,Modified (Mod),AVWXV020U5N,small car,Mod,29,37,32,Mod,yes,18400
VOLKSWAGEN Jetta SportWagen,2,5,Man-5,2WD,Gasoline,CA,S2,California LEV-II SULEV,AVWXV025259,station wagon,9,22,30,25,7,yes,23000
VOLKSWAGEN New Beetle,2,5,SemiAuto-6,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,AVWXV025257,small car,8,20,29,23,6,yes,18400
VOLKSWAGEN Passat,2,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,AVWXV0203UA,midsize car,6,22,31,25,7,yes,27600
VOLVO C30,2,5,SemiAuto-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,AVVXV025U2T,small car,6,21,30,24,7,yes,18400
VOLVO V50,2,5,SemiAuto-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,AVVXV024U2N,station wagon,7,20,31,24,7,yes,23000
